iddetalle_ingreso,cantidad,precio,tipo_comprobante,serie_comprobante,num_comprobante,fecha,impuesto,total,estado_ingreso,idcategoria,codigo,nombre,precio_venta,stock,descripcion,imagen,estado_articulo
210193993,20,270.73,Recibo,9641619,,2023-04-26,4.88,16300.15,En proceso,39582,TxtPBRaM,Vestido Health,270.73,46,Artículo Vestido Health en venta en tienda,fig_597,1
231959046,98,270.73,Recibo,1420701,,2020-03-03,88.53,10523.53,En proceso,39582,TxtPBRaM,Vestido Health,270.73,46,Artículo Vestido Health en venta en tienda,fig_597,1
215486495,44,587.48,Nota de Débito,2280584,,2020-07-14,37.77,73250.51,Reembolsada,82016,MPjuoE0I,Tenis Government,587.48,65,Artículo Tenis Government en venta en tienda,fig_696,1
617383625,53,587.48,Recibo,3148000,,2016-01-12,63.08,48738.18,Cancelada,82016,MPjuoE0I,Tenis Government,587.48,65,Artículo Tenis Government en venta en tienda,fig_696,1
689459232,42,301.71,Nota de Débito,9215818,,2022-12-13,60.2,93813.96,En proceso,75369,uhBRJajQ,Tableta Law,301.71,88,Artículo Tableta Law en venta en tienda,fig_342,1
218982482,36,623.46,Nota de Débito,9215818,,2022-12-13,60.2,93813.96,En proceso,40879,FCIw56WB,Perfume Car,623.46,14,Artículo Perfume Car en venta en tienda,fig_278,1
393495750,60,623.46,Nota de Crédito,3966174,,2016-05-11,98.55,55027.49,Reembolsada,40879,FCIw56WB,Perfume Car,623.46,14,Artículo Perfume Car en venta en tienda,fig_278,1
109483635,95,623.46,Ticket de Venta,2557469,,2019-04-15,9.63,62842.48,Cancelada,40879,FCIw56WB,Perfume Car,623.46,14,Artículo Perfume Car en venta en tienda,fig_278,1
951115811,82,483.37,Factura,5765531,,2016-12-09,17.83,58925.5,Completada,39582,xxJIqB30,Vestido Degree,483.37,96,Artículo Vestido Degree en venta en tienda,fig_674,1
834082852,55,66.03,Factura,1027608,,2021-09-07,12.77,68652.5,Cancelada,75369,P4qfH6tJ,Teléfono Of,66.03,31,Artículo Teléfono Of en venta en tienda,fig_611,1
556736471,4,66.03,Ticket de Venta,1881186,,2021-07-08,29.24,76396.1,Completada,75369,P4qfH6tJ,Teléfono Of,66.03,31,Artículo Teléfono Of en venta en tienda,fig_611,1
577938681,57,66.03,Recibo,2850179,,2020-11-02,33.44,11634.59,Cancelada,75369,P4qfH6tJ,Teléfono Of,66.03,31,Artículo Teléfono Of en venta en tienda,fig_611,1
287428646,23,152.64,Factura,5308932,,2022-11-06,27.7,33777.2,Reembolsada,51470,VLseDaMW,Juguete Effect,152.64,52,Artículo Juguete Effect en venta en tienda,fig_745,1
798548508,38,152.64,Boleta de Venta,1587946,,2015-07-26,8.81,89171.08,Pendiente,51470,VLseDaMW,Juguete Effect,152.64,52,Artículo Juguete Effect en venta en tienda,fig_745,1
174291506,27,152.64,Nota de Crédito,8774524,,2015-01-10,83.29,57993.31,Reembolsada,51470,VLseDaMW,Juguete Effect,152.64,52,Artículo Juguete Effect en venta en tienda,fig_745,1
874887208,24,660.41,Factura,4391966,,2015-07-10,14.8,85885.25,Pendiente,97521,VA4Kgh7z,Reloj Yet,660.41,31,Artículo Reloj Yet en venta en tienda,fig_590,1
753890888,98,660.41,Ticket de Venta,2911463,,2017-07-11,31.73,90648.34,En proceso,97521,VA4Kgh7z,Reloj Yet,660.41,31,Artículo Reloj Yet en venta en tienda,fig_590,1
315287593,47,478.54,Nota de Crédito,2578315,,2018-04-24,52.17,58245.4,Completada,13750,A1g06NDM,Libro Everything,478.54,15,Artículo Libro Everything en venta en tienda,fig_966,1
815222512,10,478.54,Nota de Crédito,1853856,,2018-04-01,84.27,98477.32,Pendiente,13750,A1g06NDM,Libro Everything,478.54,15,Artículo Libro Everything en venta en tienda,fig_966,1
409985120,13,198.89,Nota de Crédito,2578315,,2018-04-24,52.17,58245.4,Completada,39582,r65D59zV,Pantalón More,198.89,32,Artículo Pantalón More en venta en tienda,fig_376,1
765298843,24,198.89,Nota de Débito,7311796,,2016-10-19,39.61,14802.14,Reembolsada,39582,r65D59zV,Pantalón More,198.89,32,Artículo Pantalón More en venta en tienda,fig_376,1
355282124,69,198.89,Nota de Crédito,1172203,,2016-08-05,82.88,17243.82,Reembolsada,39582,r65D59zV,Pantalón More,198.89,32,Artículo Pantalón More en venta en tienda,fig_376,1
828745769,21,237.82,Nota de Débito,7064582,,2016-07-18,8.95,28467.47,En proceso,13750,uZMu4EZQ,Libro Perhaps,237.82,14,Artículo Libro Perhaps en venta en tienda,fig_468,1
547614428,64,36.64,Nota de Débito,7064582,,2016-07-18,8.95,28467.47,En proceso,13750,CHecRuWY,Libro Note,36.64,18,Artículo Libro Note en venta en tienda,fig_30,1
996771933,31,36.64,Ticket de Venta,7570276,,2023-07-11,56.42,29420.63,Cancelada,13750,CHecRuWY,Libro Note,36.64,18,Artículo Libro Note en venta en tienda,fig_30,1
126712103,17,36.64,Boleta de Venta,2143457,,2018-11-04,55.76,65172.45,En proceso,13750,CHecRuWY,Libro Note,36.64,18,Artículo Libro Note en venta en tienda,fig_30,1
571559977,59,272.74,Ticket de Venta,5199330,,2021-01-25,2.07,90910.98,Completada,39582,sppiANhR,Suéter Center,272.74,92,Artículo Suéter Center en venta en tienda,fig_415,1
704445864,62,272.74,Ticket de Venta,2911463,,2017-07-11,31.73,90648.34,En proceso,39582,sppiANhR,Suéter Center,272.74,92,Artículo Suéter Center en venta en tienda,fig_415,1
483121648,66,272.74,Nota de Crédito,5564920,,2017-11-11,22.22,14319.32,Pendiente,39582,sppiANhR,Suéter Center,272.74,92,Artículo Suéter Center en venta en tienda,fig_415,1
540070899,47,236.81,Ticket de Venta,5199330,,2021-01-25,2.07,90910.98,Completada,13750,NaPbVN3K,Bolígrafo Want,236.81,33,Artículo Bolígrafo Want en venta en tienda,fig_968,1
120999886,28,236.81,Factura,7996943,,2020-04-26,35.28,92638.75,Pendiente,13750,NaPbVN3K,Bolígrafo Want,236.81,33,Artículo Bolígrafo Want en venta en tienda,fig_968,1
344438828,11,886.63,Nota de Crédito,9033154,,2016-10-21,36.63,81789.33,En proceso,13750,BPwWVA59,Bolígrafo Option,886.63,87,Artículo Bolígrafo Option en venta en tienda,fig_62,1
756361150,28,886.63,Factura,8639657,,2017-11-28,47.96,67198.31,Cancelada,13750,BPwWVA59,Bolígrafo Option,886.63,87,Artículo Bolígrafo Option en venta en tienda,fig_62,1
693202991,42,800.78,Factura,9428434,,2022-04-30,11.55,55967.4,Cancelada,32684,hxHz1UqJ,Cuadro Think,800.78,44,Artículo Cuadro Think en venta en tienda,fig_105,1
794150409,28,223.61,Factura,9428434,,2022-04-30,11.55,55967.4,Cancelada,75369,LZ6kBszc,Tableta West,223.61,20,Artículo Tableta West en venta en tienda,fig_528,1
187876472,68,223.61,Nota de Débito,1493882,,2015-02-07,43.46,44962.6,Pendiente,75369,LZ6kBszc,Tableta West,223.61,20,Artículo Tableta West en venta en tienda,fig_528,1
861335541,15,223.61,Nota de Crédito,8344056,,2020-10-06,90.87,46047.87,En proceso,75369,LZ6kBszc,Tableta West,223.61,20,Artículo Tableta West en venta en tienda,fig_528,1
829958193,63,819.08,Ticket de Venta,2175327,,2020-05-18,34.06,81784.06,Pendiente,97521,Znrpkeo3,Anillo Return,819.08,96,Artículo Anillo Return en venta en tienda,fig_723,1
523741235,59,553.1,Ticket de Venta,6869074,,2021-12-24,77.15,76984.56,Reembolsada,64218,bLrtZEPw,Galleta Our,553.1,46,Artículo Galleta Our en venta en tienda,fig_951,1
980732951,78,553.1,Nota de Débito,3331942,,2017-06-19,29.71,37794.29,Reembolsada,64218,bLrtZEPw,Galleta Our,553.1,46,Artículo Galleta Our en venta en tienda,fig_951,1
871560499,22,553.1,Factura,1378474,,2015-12-19,77.24,26902.12,Completada,64218,bLrtZEPw,Galleta Our,553.1,46,Artículo Galleta Our en venta en tienda,fig_951,1
863727031,5,553.1,Boleta de Venta,4422770,,2020-08-28,8.25,79543.15,En proceso,64218,bLrtZEPw,Galleta Our,553.1,46,Artículo Galleta Our en venta en tienda,fig_951,1
278327929,33,338.14,Ticket de Venta,6869074,,2021-12-24,77.15,76984.56,Reembolsada,82016,HDMQ6uzx,Zapatos Course,338.14,74,Artículo Zapatos Course en venta en tienda,fig_388,1
748837967,51,338.14,Boleta de Venta,9204242,,2021-09-17,43.17,63731.29,Completada,82016,HDMQ6uzx,Zapatos Course,338.14,74,Artículo Zapatos Course en venta en tienda,fig_388,1
700085003,33,607.04,Ticket de Venta,6869074,,2021-12-24,77.15,76984.56,Reembolsada,40879,4BqozgDJ,Maquillaje Direction,607.04,5,Artículo Maquillaje Direction en venta en tienda,fig_965,1
214565573,87,607.04,Factura,4447962,,2019-10-26,89.67,51270.64,Completada,40879,4BqozgDJ,Maquillaje Direction,607.04,5,Artículo Maquillaje Direction en venta en tienda,fig_965,1
755157588,79,607.04,Recibo,7885693,,2022-09-03,40.47,31819.75,En proceso,40879,4BqozgDJ,Maquillaje Direction,607.04,5,Artículo Maquillaje Direction en venta en tienda,fig_965,1
757715769,53,139.46,Ticket de Venta,6869074,,2021-12-24,77.15,76984.56,Reembolsada,39582,HPPSAaEh,Suéter Soldier,139.46,91,Artículo Suéter Soldier en venta en tienda,fig_711,1
525717011,89,994.23,Ticket de Venta,6869074,,2021-12-24,77.15,76984.56,Reembolsada,75369,vO7Rr9zj,Teléfono Less,994.23,72,Artículo Teléfono Less en venta en tienda,fig_557,1
669003827,45,957.47,Nota de Débito,3724955,,2022-03-23,17.55,90101.14,Reembolsada,32684,yJXlmXSf,Cama Represent,957.47,60,Artículo Cama Represent en venta en tienda,fig_432,1
582238123,47,957.47,Recibo,4356323,,2019-11-04,77.54,16214.62,Completada,32684,yJXlmXSf,Cama Represent,957.47,60,Artículo Cama Represent en venta en tienda,fig_432,1
124313652,35,830.08,Ticket de Venta,3481141,,2020-05-05,14.25,74472.15,En proceso,51470,4qoREwGa,Juguete Without,830.08,60,Artículo Juguete Without en venta en tienda,fig_310,1
510050889,54,830.08,Nota de Crédito,5508333,,2022-01-31,27.19,69639.28,Cancelada,51470,4qoREwGa,Juguete Without,830.08,60,Artículo Juguete Without en venta en tienda,fig_310,1
483974395,13,830.08,Nota de Débito,8901203,,2016-01-10,34.26,36325.46,Reembolsada,51470,4qoREwGa,Juguete Without,830.08,60,Artículo Juguete Without en venta en tienda,fig_310,1
851676148,85,625.4,Ticket de Venta,3481141,,2020-05-05,14.25,74472.15,En proceso,39582,VzbhNJLT,Vestido Agree,625.4,80,Artículo Vestido Agree en venta en tienda,fig_957,1
737224929,14,625.4,Nota de Débito,1191413,,2018-06-28,35.86,41407.47,Cancelada,39582,VzbhNJLT,Vestido Agree,625.4,80,Artículo Vestido Agree en venta en tienda,fig_957,1
913288192,45,625.4,Nota de Débito,1855065,,2018-10-25,12.15,13817.94,Completada,39582,VzbhNJLT,Vestido Agree,625.4,80,Artículo Vestido Agree en venta en tienda,fig_957,1
999168427,45,625.4,Factura,9409037,,2019-02-06,97.33,22146.16,En proceso,39582,VzbhNJLT,Vestido Agree,625.4,80,Artículo Vestido Agree en venta en tienda,fig_957,1
276183727,79,625.4,Boleta de Venta,2682538,,2019-07-27,94.04,43231.39,En proceso,39582,VzbhNJLT,Vestido Agree,625.4,80,Artículo Vestido Agree en venta en tienda,fig_957,1
413149235,83,409.58,Recibo,4034094,,2021-02-01,85.56,62874.5,En proceso,51470,jtOZQ0Rs,Pelota Weight,409.58,20,Artículo Pelota Weight en venta en tienda,fig_211,1
290913083,52,409.58,Boleta de Venta,4146162,,2016-01-19,36.78,19347.82,Pendiente,51470,jtOZQ0Rs,Pelota Weight,409.58,20,Artículo Pelota Weight en venta en tienda,fig_211,1
519725897,5,409.58,Boleta de Venta,7045569,,2015-02-17,84.46,89628.11,Cancelada,51470,jtOZQ0Rs,Pelota Weight,409.58,20,Artículo Pelota Weight en venta en tienda,fig_211,1
977162303,15,412.91,Nota de Débito,1070971,,2015-06-10,97.26,88741.86,Cancelada,32684,sMwwpPv8,Cuadro Challenge,412.91,57,Artículo Cuadro Challenge en venta en tienda,fig_34,1
850859241,79,895.94,Nota de Débito,1070971,,2015-06-10,97.26,88741.86,Cancelada,82016,LZJ3g3Qj,Zapatos Majority,895.94,13,Artículo Zapatos Majority en venta en tienda,fig_771,1
739989571,69,142.9,Ticket de Venta,2055292,,2016-09-20,17.56,3036.71,En proceso,39582,owWbTm3k,Vestido Own,142.9,85,Artículo Vestido Own en venta en tienda,fig_485,1
784896137,15,944.94,Ticket de Venta,2055292,,2016-09-20,17.56,3036.71,En proceso,39582,Bop57vfw,Vestido Girl,944.94,70,Artículo Vestido Girl en venta en tienda,fig_356,1
985174087,68,105.03,Factura,9651422,,2019-03-30,13.93,10917.63,Cancelada,39582,ustV4pwz,Vestido Candidate,105.03,42,Artículo Vestido Candidate en venta en tienda,fig_380,1
855004639,61,105.03,Boleta de Venta,6198701,,2022-07-11,64.02,74503.49,Cancelada,39582,ustV4pwz,Vestido Candidate,105.03,42,Artículo Vestido Candidate en venta en tienda,fig_380,1
903301192,92,733.6,Nota de Crédito,5487947,,2020-05-26,40.24,66668.81,Pendiente,39582,6PEUqpOp,Vestido Push,733.6,39,Artículo Vestido Push en venta en tienda,fig_494,1
336385782,23,124.91,Nota de Crédito,5487947,,2020-05-26,40.24,66668.81,Pendiente,39582,mPU6nkMs,Camisa Suffer,124.91,92,Artículo Camisa Suffer en venta en tienda,fig_963,1
894054222,77,124.91,Factura,1378474,,2015-12-19,77.24,26902.12,Completada,39582,mPU6nkMs,Camisa Suffer,124.91,92,Artículo Camisa Suffer en venta en tienda,fig_963,1
903366727,56,154.72,Ticket de Venta,3636270,,2016-05-12,1.94,58266.69,Reembolsada,75369,qQcoocj7,Portátil Organization,154.72,81,Artículo Portátil Organization en venta en tienda,fig_328,1
997279819,94,221.16,Nota de Crédito,3277788,,2023-12-07,91.31,74367.26,Cancelada,32684,K22mGlly,Cama Compare,221.16,40,Artículo Cama Compare en venta en tienda,fig_795,1
270690383,18,466.82,Nota de Crédito,5330976,,2016-06-26,58.65,83074.14,Reembolsada,32684,O7A4xsJp,Cama Respond,466.82,9,Artículo Cama Respond en venta en tienda,fig_809,1
819583876,44,466.82,Nota de Crédito,8499424,,2015-08-15,72.91,15549.45,Pendiente,32684,O7A4xsJp,Cama Respond,466.82,9,Artículo Cama Respond en venta en tienda,fig_809,1
787002266,53,635.94,Nota de Crédito,5330976,,2016-06-26,58.65,83074.14,Reembolsada,75369,5sFH3AWK,Teléfono Machine,635.94,94,Artículo Teléfono Machine en venta en tienda,fig_776,1
742847053,70,635.94,Ticket de Venta,9294680,,2018-07-11,58.07,58032.75,En proceso,75369,5sFH3AWK,Teléfono Machine,635.94,94,Artículo Teléfono Machine en venta en tienda,fig_776,1
511275088,98,18.01,Boleta de Venta,4703485,,2019-01-10,11.49,1637.71,Reembolsada,39582,vyocMUU3,Pantalón Offer,18.01,12,Artículo Pantalón Offer en venta en tienda,fig_933,1
904567285,86,300.95,Boleta de Venta,4703485,,2019-01-10,11.49,1637.71,Reembolsada,39582,5qOf73zl,Pantalón Space,300.95,64,Artículo Pantalón Space en venta en tienda,fig_754,1
673121438,60,300.95,Ticket de Venta,1881186,,2021-07-08,29.24,76396.1,Completada,39582,5qOf73zl,Pantalón Space,300.95,64,Artículo Pantalón Space en venta en tienda,fig_754,1
676107135,67,38.67,Boleta de Venta,4703485,,2019-01-10,11.49,1637.71,Reembolsada,32684,AXBkaB2e,Cama Simple,38.67,49,Artículo Cama Simple en venta en tienda,fig_949,1
927000657,12,348.73,Nota de Crédito,1534787,,2015-01-14,80.55,84050.64,En proceso,40879,B27qpu5h,Maquillaje Officer,348.73,97,Artículo Maquillaje Officer en venta en tienda,fig_410,1
566254745,6,321.98,Nota de Crédito,1534787,,2015-01-14,80.55,84050.64,En proceso,32684,ZHEz5ZrH,Cuadro Send,321.98,68,Artículo Cuadro Send en venta en tienda,fig_261,1
596332626,37,631.44,Boleta de Venta,8009706,,2017-09-10,46.91,37752.92,Cancelada,64218,m5Nqic4Z,Galleta Same,631.44,3,Artículo Galleta Same en venta en tienda,fig_732,1
251685371,67,631.44,Nota de Débito,5633712,,2015-08-17,85.68,66950.5,Reembolsada,64218,m5Nqic4Z,Galleta Same,631.44,3,Artículo Galleta Same en venta en tienda,fig_732,1
568412535,71,631.44,Boleta de Venta,2682014,,2015-01-24,7.93,36461.58,Cancelada,64218,m5Nqic4Z,Galleta Same,631.44,3,Artículo Galleta Same en venta en tienda,fig_732,1
138632822,63,631.44,Boleta de Venta,5586406,,2018-06-05,13.55,41099.33,Reembolsada,64218,m5Nqic4Z,Galleta Same,631.44,3,Artículo Galleta Same en venta en tienda,fig_732,1
526422598,74,145.6,Boleta de Venta,8009706,,2017-09-10,46.91,37752.92,Cancelada,75369,Xg7QLyQn,Tableta Try,145.6,76,Artículo Tableta Try en venta en tienda,fig_445,1
819760652,83,145.6,Factura,6716739,,2023-05-17,67.41,1799.01,Cancelada,75369,Xg7QLyQn,Tableta Try,145.6,76,Artículo Tableta Try en venta en tienda,fig_445,1
453412209,50,692.17,Boleta de Venta,8009706,,2017-09-10,46.91,37752.92,Cancelada,32684,M77PZrKu,Cama Specific,692.17,59,Artículo Cama Specific en venta en tienda,fig_281,1
334530197,50,692.17,Nota de Crédito,8974735,,2023-07-08,77.95,60324.23,Cancelada,32684,M77PZrKu,Cama Specific,692.17,59,Artículo Cama Specific en venta en tienda,fig_281,1
939520084,98,244.55,Ticket de Venta,5018846,,2018-07-19,69.45,57910.91,Cancelada,32684,0A2J5K6U,Jarrón International,244.55,8,Artículo Jarrón International en venta en tienda,fig_76,1
953032785,24,593.22,Recibo,9941029,,2018-11-22,43.83,63125.99,Reembolsada,39582,5BJu35af,Vestido Trouble,593.22,45,Artículo Vestido Trouble en venta en tienda,fig_360,1
996617142,3,593.22,Nota de Crédito,1846175,,2023-06-11,36.85,40477.9,Completada,39582,5BJu35af,Vestido Trouble,593.22,45,Artículo Vestido Trouble en venta en tienda,fig_360,1
588318964,83,259.42,Recibo,9941029,,2018-11-22,43.83,63125.99,Reembolsada,32684,BNxv8PXb,Alfombra Seat,259.42,36,Artículo Alfombra Seat en venta en tienda,fig_532,1
694556040,82,259.42,Recibo,2587778,,2022-12-02,55.15,47121.52,Reembolsada,32684,BNxv8PXb,Alfombra Seat,259.42,36,Artículo Alfombra Seat en venta en tienda,fig_532,1
916199210,61,259.42,Factura,5452670,,2018-11-19,33.32,85244.8,En proceso,32684,BNxv8PXb,Alfombra Seat,259.42,36,Artículo Alfombra Seat en venta en tienda,fig_532,1
184659646,20,259.42,Recibo,2490660,,2018-01-26,65.89,84287.4,Pendiente,32684,BNxv8PXb,Alfombra Seat,259.42,36,Artículo Alfombra Seat en venta en tienda,fig_532,1
711899222,53,926.19,Nota de Débito,5716813,,2023-06-14,78.91,1105.5,Pendiente,32684,482kuGg9,Alfombra Accept,926.19,74,Artículo Alfombra Accept en venta en tienda,fig_519,1
544058884,44,926.19,Nota de Crédito,5213253,,2020-04-20,24.12,63539.04,Reembolsada,32684,482kuGg9,Alfombra Accept,926.19,74,Artículo Alfombra Accept en venta en tienda,fig_519,1
459801967,66,724.78,Nota de Débito,5716813,,2023-06-14,78.91,1105.5,Pendiente,75369,mDrgAL1m,Portátil Box,724.78,53,Artículo Portátil Box en venta en tienda,fig_491,1
