iddetalle_venta,cantidad,precio,descuento,tipo_comprobante,serie_comprobante,num_comprobante,fecha,impuesto,total,estado_venta,idcategoria,codigo,nombre,precio_venta,stock,descripcion,imagen,estado_articulo
4809591,19,72.52,91.22,Ticket de Venta,7805814,56113962,2023-04-07,52.59,37535.91,Reembolsada,39582,YW8wmdVl,Suéter Attack,72.52,12,Artículo Suéter Attack en venta en tienda,fig_474,1
5190462,44,72.52,949.61,Ticket de Venta,9767462,24873439,2020-12-05,98.99,58913.93,Completada,39582,YW8wmdVl,Suéter Attack,72.52,12,Artículo Suéter Attack en venta en tienda,fig_474,1
8521577,50,72.52,182.35,Nota de Débito,9483109,86989602,2022-03-25,12.32,86887.68,En proceso,39582,YW8wmdVl,Suéter Attack,72.52,12,Artículo Suéter Attack en venta en tienda,fig_474,1
5755700,42,72.52,684.05,Boleta de Venta,5371566,35276457,2015-07-07,82.43,43097.02,Cancelada,39582,YW8wmdVl,Suéter Attack,72.52,12,Artículo Suéter Attack en venta en tienda,fig_474,1
6869166,60,72.52,561.43,Boleta de Venta,7059001,51748356,2019-12-24,60.23,93646.96,Pendiente,39582,YW8wmdVl,Suéter Attack,72.52,12,Artículo Suéter Attack en venta en tienda,fig_474,1
9314224,57,72.52,185.29,Recibo,1715374,42710179,2021-07-30,73.03,52805.78,Cancelada,39582,YW8wmdVl,Suéter Attack,72.52,12,Artículo Suéter Attack en venta en tienda,fig_474,1
4713149,16,560.82,422.23,Ticket de Venta,7805814,56113962,2023-04-07,52.59,37535.91,Reembolsada,75369,scOysjb2,Teléfono Street,560.82,67,Artículo Teléfono Street en venta en tienda,fig_446,1
6487376,85,560.82,251.76,Factura,1747632,29579896,2021-03-01,0.45,60578.3,Completada,75369,scOysjb2,Teléfono Street,560.82,67,Artículo Teléfono Street en venta en tienda,fig_446,1
9086418,88,560.82,660.87,Recibo,1715374,42710179,2021-07-30,73.03,52805.78,Cancelada,75369,scOysjb2,Teléfono Street,560.82,67,Artículo Teléfono Street en venta en tienda,fig_446,1
5520997,68,560.82,450.04,Boleta de Venta,3347843,73655650,2021-05-17,54.45,5778.66,Cancelada,75369,scOysjb2,Teléfono Street,560.82,67,Artículo Teléfono Street en venta en tienda,fig_446,1
6338337,69,560.82,937.64,Boleta de Venta,1035610,67419446,2020-11-29,47.03,56684.04,Completada,75369,scOysjb2,Teléfono Street,560.82,67,Artículo Teléfono Street en venta en tienda,fig_446,1
7274194,77,355.93,117.44,Ticket de Venta,7805814,56113962,2023-04-07,52.59,37535.91,Reembolsada,13750,5f1xhxzy,Bolígrafo Smile,355.93,23,Artículo Bolígrafo Smile en venta en tienda,fig_637,1
4892761,50,355.93,119.74,Nota de Crédito,6366103,76569422,2018-06-24,79.93,1404.78,Cancelada,13750,5f1xhxzy,Bolígrafo Smile,355.93,23,Artículo Bolígrafo Smile en venta en tienda,fig_637,1
8237287,73,355.93,415.68,Ticket de Venta,7948896,73077258,2019-12-25,18.77,53928.97,Reembolsada,13750,5f1xhxzy,Bolígrafo Smile,355.93,23,Artículo Bolígrafo Smile en venta en tienda,fig_637,1
5699529,20,355.93,855.64,Ticket de Venta,4442101,29448174,2015-12-25,6.93,45082.46,Completada,13750,5f1xhxzy,Bolígrafo Smile,355.93,23,Artículo Bolígrafo Smile en venta en tienda,fig_637,1
4722959,55,355.93,705.02,Boleta de Venta,3112249,72297744,2016-07-10,21.14,35928.52,Completada,13750,5f1xhxzy,Bolígrafo Smile,355.93,23,Artículo Bolígrafo Smile en venta en tienda,fig_637,1
9854637,99,355.93,435.04,Boleta de Venta,3594586,86708517,2020-07-10,38.91,38474.83,Completada,13750,5f1xhxzy,Bolígrafo Smile,355.93,23,Artículo Bolígrafo Smile en venta en tienda,fig_637,1
3840421,75,355.93,485.28,Factura,7918116,77291997,2017-01-31,82.25,3362.21,Pendiente,13750,5f1xhxzy,Bolígrafo Smile,355.93,23,Artículo Bolígrafo Smile en venta en tienda,fig_637,1
6908565,97,355.93,231.48,Factura,7079797,47167327,2022-03-21,62.43,23641.08,Reembolsada,13750,5f1xhxzy,Bolígrafo Smile,355.93,23,Artículo Bolígrafo Smile en venta en tienda,fig_637,1
7849631,93,355.93,762.28,Boleta de Venta,9676973,87113893,2022-09-12,91.09,50285.7,En proceso,13750,5f1xhxzy,Bolígrafo Smile,355.93,23,Artículo Bolígrafo Smile en venta en tienda,fig_637,1
4816907,24,82.49,945.63,Boleta de Venta,3273675,86154133,2019-07-19,50.24,79583.67,En proceso,32684,7px3E857,Cuadro Doctor,82.49,80,Artículo Cuadro Doctor en venta en tienda,fig_765,1
6874529,33,82.49,894.57,Nota de Crédito,6009415,34068979,2023-03-17,36.28,73513.94,Cancelada,32684,7px3E857,Cuadro Doctor,82.49,80,Artículo Cuadro Doctor en venta en tienda,fig_765,1
4857739,80,82.49,720.39,Boleta de Venta,1685020,52684263,2016-09-27,68.77,12550.56,Pendiente,32684,7px3E857,Cuadro Doctor,82.49,80,Artículo Cuadro Doctor en venta en tienda,fig_765,1
3609261,78,82.49,663.14,Boleta de Venta,3677596,66825588,2017-07-18,27.31,77479.62,Pendiente,32684,7px3E857,Cuadro Doctor,82.49,80,Artículo Cuadro Doctor en venta en tienda,fig_765,1
7819366,62,82.49,326.18,Boleta de Venta,6059294,67239139,2021-12-11,30.4,13555.59,Completada,32684,7px3E857,Cuadro Doctor,82.49,80,Artículo Cuadro Doctor en venta en tienda,fig_765,1
6578649,24,82.49,35.28,Boleta de Venta,4359623,71161249,2021-11-14,67.69,97094.37,Pendiente,32684,7px3E857,Cuadro Doctor,82.49,80,Artículo Cuadro Doctor en venta en tienda,fig_765,1
9420179,89,442.44,976.98,Boleta de Venta,3273675,86154133,2019-07-19,50.24,79583.67,En proceso,39582,tVaZRceu,Vestido Each,442.44,42,Artículo Vestido Each en venta en tienda,fig_849,1
6259114,1,442.44,364.6,Nota de Débito,5024186,91505008,2017-11-25,6.17,88236.51,Pendiente,39582,tVaZRceu,Vestido Each,442.44,42,Artículo Vestido Each en venta en tienda,fig_849,1
7833808,92,442.44,109.95,Nota de Débito,1030195,90095656,2022-04-19,46.17,31423.55,En proceso,39582,tVaZRceu,Vestido Each,442.44,42,Artículo Vestido Each en venta en tienda,fig_849,1
6765127,41,442.44,236.5,Ticket de Venta,3570729,48020450,2019-12-25,52.35,49388.13,Pendiente,39582,tVaZRceu,Vestido Each,442.44,42,Artículo Vestido Each en venta en tienda,fig_849,1
9094488,62,667.42,269.94,Boleta de Venta,3273675,86154133,2019-07-19,50.24,79583.67,En proceso,32684,QicaVHdn,Lámpara Position,667.42,30,Artículo Lámpara Position en venta en tienda,fig_803,1
8028861,93,667.42,821.15,Nota de Crédito,3353765,97881240,2018-12-01,14.27,76750.3,Cancelada,32684,QicaVHdn,Lámpara Position,667.42,30,Artículo Lámpara Position en venta en tienda,fig_803,1
6662019,91,667.42,624.1,Boleta de Venta,1325044,60456941,2017-09-21,96.49,97689.71,Pendiente,32684,QicaVHdn,Lámpara Position,667.42,30,Artículo Lámpara Position en venta en tienda,fig_803,1
9699343,41,271.86,957.04,Recibo,3440682,32913439,2019-07-24,38.51,53315.2,Reembolsada,32684,HuqAr6OA,Cama Best,271.86,93,Artículo Cama Best en venta en tienda,fig_974,1
3594944,67,271.86,638.78,Nota de Crédito,5527105,76135947,2017-03-01,12.27,55665.6,Cancelada,32684,HuqAr6OA,Cama Best,271.86,93,Artículo Cama Best en venta en tienda,fig_974,1
9079647,94,271.86,103.64,Boleta de Venta,9077175,19450221,2021-11-06,28.97,34557.7,Pendiente,32684,HuqAr6OA,Cama Best,271.86,93,Artículo Cama Best en venta en tienda,fig_974,1
9784282,13,271.86,307.11,Recibo,6669624,98018574,2019-04-19,56.35,29058.38,Reembolsada,32684,HuqAr6OA,Cama Best,271.86,93,Artículo Cama Best en venta en tienda,fig_974,1
6618733,39,271.86,328.08,Recibo,6669624,98018574,2019-04-19,56.35,29058.38,Reembolsada,32684,HuqAr6OA,Cama Best,271.86,93,Artículo Cama Best en venta en tienda,fig_974,1
8571091,90,764.29,392.34,Recibo,3440682,32913439,2019-07-24,38.51,53315.2,Reembolsada,13750,MZCe9YaN,Bolígrafo Head,764.29,99,Artículo Bolígrafo Head en venta en tienda,fig_206,1
7002087,4,764.29,647.45,Factura,1454318,99309790,2018-06-30,6.03,3054.55,Pendiente,13750,MZCe9YaN,Bolígrafo Head,764.29,99,Artículo Bolígrafo Head en venta en tienda,fig_206,1
4304372,66,764.29,749.71,Factura,8220785,52228204,2018-06-26,32.0,64793.91,Pendiente,13750,MZCe9YaN,Bolígrafo Head,764.29,99,Artículo Bolígrafo Head en venta en tienda,fig_206,1
5842197,48,764.29,355.54,Factura,9421262,57092485,2016-10-31,62.05,94186.16,Cancelada,13750,MZCe9YaN,Bolígrafo Head,764.29,99,Artículo Bolígrafo Head en venta en tienda,fig_206,1
9036020,83,764.29,599.83,Factura,6740611,85940799,2017-11-03,14.94,9341.99,En proceso,13750,MZCe9YaN,Bolígrafo Head,764.29,99,Artículo Bolígrafo Head en venta en tienda,fig_206,1
6953099,12,764.29,842.91,Factura,7897584,78504357,2016-06-29,45.83,79857.33,En proceso,13750,MZCe9YaN,Bolígrafo Head,764.29,99,Artículo Bolígrafo Head en venta en tienda,fig_206,1
9387925,13,764.29,112.35,Recibo,3502671,27470327,2015-03-21,84.93,59719.01,Reembolsada,13750,MZCe9YaN,Bolígrafo Head,764.29,99,Artículo Bolígrafo Head en venta en tienda,fig_206,1
5776767,82,764.29,985.4,Recibo,7980725,45049528,2021-09-28,4.45,1250.57,Reembolsada,13750,MZCe9YaN,Bolígrafo Head,764.29,99,Artículo Bolígrafo Head en venta en tienda,fig_206,1
3629607,70,764.29,19.1,Boleta de Venta,4838830,38966669,2020-06-11,12.43,59388.83,Cancelada,13750,MZCe9YaN,Bolígrafo Head,764.29,99,Artículo Bolígrafo Head en venta en tienda,fig_206,1
4352221,93,764.29,875.89,Factura,6041481,43396997,2016-11-11,81.37,80075.42,Completada,13750,MZCe9YaN,Bolígrafo Head,764.29,99,Artículo Bolígrafo Head en venta en tienda,fig_206,1
8578313,55,764.29,24.43,Boleta de Venta,1944303,35242678,2023-06-28,32.81,73817.36,Reembolsada,13750,MZCe9YaN,Bolígrafo Head,764.29,99,Artículo Bolígrafo Head en venta en tienda,fig_206,1
5923153,38,506.71,121.78,Recibo,3440682,32913439,2019-07-24,38.51,53315.2,Reembolsada,97521,3BicTs1r,Anillo Money,506.71,69,Artículo Anillo Money en venta en tienda,fig_624,1
9225967,92,506.71,219.99,Factura,2730489,65073580,2016-07-17,50.68,88021.11,Pendiente,97521,3BicTs1r,Anillo Money,506.71,69,Artículo Anillo Money en venta en tienda,fig_624,1
6211308,65,506.71,742.02,Recibo,3963267,11872565,2022-04-02,33.66,40588.49,Cancelada,97521,3BicTs1r,Anillo Money,506.71,69,Artículo Anillo Money en venta en tienda,fig_624,1
5366199,27,506.71,983.45,Recibo,7075316,31251898,2017-11-09,15.97,97096.39,En proceso,97521,3BicTs1r,Anillo Money,506.71,69,Artículo Anillo Money en venta en tienda,fig_624,1
9338899,61,697.37,510.88,Ticket de Venta,9767462,24873439,2020-12-05,98.99,58913.93,Completada,32684,eYIqxT7O,Mesa Pull,697.37,59,Artículo Mesa Pull en venta en tienda,fig_73,1
5112877,7,697.37,261.54,Nota de Débito,8550120,68830947,2019-09-13,2.98,5215.63,Cancelada,32684,eYIqxT7O,Mesa Pull,697.37,59,Artículo Mesa Pull en venta en tienda,fig_73,1
6271230,71,697.37,396.75,Nota de Crédito,1352614,56079212,2016-05-09,12.4,16370.1,En proceso,32684,eYIqxT7O,Mesa Pull,697.37,59,Artículo Mesa Pull en venta en tienda,fig_73,1
3347118,1,697.37,764.2,Ticket de Venta,2196392,31921005,2016-12-08,42.07,79126.26,Reembolsada,32684,eYIqxT7O,Mesa Pull,697.37,59,Artículo Mesa Pull en venta en tienda,fig_73,1
9739643,81,697.37,614.77,Factura,7469499,34603377,2017-05-06,76.74,56944.59,Reembolsada,32684,eYIqxT7O,Mesa Pull,697.37,59,Artículo Mesa Pull en venta en tienda,fig_73,1
5476241,83,697.37,987.15,Boleta de Venta,3112249,72297744,2016-07-10,21.14,35928.52,Completada,32684,eYIqxT7O,Mesa Pull,697.37,59,Artículo Mesa Pull en venta en tienda,fig_73,1
4359674,83,574.66,588.67,Ticket de Venta,9767462,24873439,2020-12-05,98.99,58913.93,Completada,32684,aksW3APf,Cama Stay,574.66,4,Artículo Cama Stay en venta en tienda,fig_260,1
6747001,71,574.66,210.83,Nota de Crédito,8532543,88287729,2018-12-09,2.15,14636.48,Completada,32684,aksW3APf,Cama Stay,574.66,4,Artículo Cama Stay en venta en tienda,fig_260,1
8079464,32,574.66,842.52,Ticket de Venta,6710983,72281816,2016-05-07,64.76,52907.81,Completada,32684,aksW3APf,Cama Stay,574.66,4,Artículo Cama Stay en venta en tienda,fig_260,1
9451008,49,574.66,571.94,Ticket de Venta,2332479,18718495,2021-01-01,12.1,7084.1,Reembolsada,32684,aksW3APf,Cama Stay,574.66,4,Artículo Cama Stay en venta en tienda,fig_260,1
6569249,47,574.66,580.75,Boleta de Venta,3404147,73365807,2022-09-30,94.48,59148.59,Reembolsada,32684,aksW3APf,Cama Stay,574.66,4,Artículo Cama Stay en venta en tienda,fig_260,1
6413371,9,574.66,727.08,Nota de Crédito,4050789,58146628,2019-01-28,97.35,52454.21,Completada,32684,aksW3APf,Cama Stay,574.66,4,Artículo Cama Stay en venta en tienda,fig_260,1
4160010,49,574.66,938.34,Recibo,2812821,65952588,2017-04-20,13.66,10459.53,En proceso,32684,aksW3APf,Cama Stay,574.66,4,Artículo Cama Stay en venta en tienda,fig_260,1
5661102,76,574.66,733.62,Ticket de Venta,8407649,25201161,2021-04-17,79.84,88241.01,Cancelada,32684,aksW3APf,Cama Stay,574.66,4,Artículo Cama Stay en venta en tienda,fig_260,1
5059160,93,201.5,958.29,Ticket de Venta,9767462,24873439,2020-12-05,98.99,58913.93,Completada,39582,d8on0ETY,Camisa You,201.5,23,Artículo Camisa You en venta en tienda,fig_986,1
4793981,62,201.5,339.94,Recibo,7782164,44007175,2022-12-15,97.4,44783.93,Completada,39582,d8on0ETY,Camisa You,201.5,23,Artículo Camisa You en venta en tienda,fig_986,1
4122435,68,201.5,152.54,Factura,7953553,62723175,2022-08-30,20.5,12968.8,Cancelada,39582,d8on0ETY,Camisa You,201.5,23,Artículo Camisa You en venta en tienda,fig_986,1
6423789,29,201.5,768.95,Boleta de Venta,2850876,29497397,2022-05-30,24.52,70788.89,Pendiente,39582,d8on0ETY,Camisa You,201.5,23,Artículo Camisa You en venta en tienda,fig_986,1
8186273,36,201.5,369.93,Ticket de Venta,3501797,16887524,2022-04-07,6.74,35814.96,Cancelada,39582,d8on0ETY,Camisa You,201.5,23,Artículo Camisa You en venta en tienda,fig_986,1
3811992,97,201.5,435.31,Nota de Débito,7904549,52352255,2023-06-24,17.74,86661.94,Cancelada,39582,d8on0ETY,Camisa You,201.5,23,Artículo Camisa You en venta en tienda,fig_986,1
6417196,63,201.5,546.99,Nota de Débito,7654001,80202280,2019-09-17,0.27,1213.18,Reembolsada,39582,d8on0ETY,Camisa You,201.5,23,Artículo Camisa You en venta en tienda,fig_986,1
3650960,35,201.5,919.46,Factura,4152174,96172843,2021-07-31,1.3,91716.51,Cancelada,39582,d8on0ETY,Camisa You,201.5,23,Artículo Camisa You en venta en tienda,fig_986,1
4028311,85,201.5,98.39,Nota de Débito,8809742,94682342,2020-06-12,57.53,51831.87,Cancelada,39582,d8on0ETY,Camisa You,201.5,23,Artículo Camisa You en venta en tienda,fig_986,1
9545088,42,201.5,878.61,Ticket de Venta,3639169,53110637,2022-07-26,18.1,97905.82,Pendiente,39582,d8on0ETY,Camisa You,201.5,23,Artículo Camisa You en venta en tienda,fig_986,1
5455398,21,924.72,249.49,Ticket de Venta,9767462,24873439,2020-12-05,98.99,58913.93,Completada,39582,s0QAre01,Pantalón Near,924.72,82,Artículo Pantalón Near en venta en tienda,fig_325,1
3982481,3,924.72,486.32,Nota de Crédito,6009415,34068979,2023-03-17,36.28,73513.94,Cancelada,39582,s0QAre01,Pantalón Near,924.72,82,Artículo Pantalón Near en venta en tienda,fig_325,1
8151847,3,924.72,484.08,Factura,8672594,91262252,2015-09-24,51.36,84961.42,Reembolsada,39582,s0QAre01,Pantalón Near,924.72,82,Artículo Pantalón Near en venta en tienda,fig_325,1
6180066,94,924.72,704.93,Nota de Crédito,6455712,13936986,2017-04-21,87.21,37448.57,Completada,39582,s0QAre01,Pantalón Near,924.72,82,Artículo Pantalón Near en venta en tienda,fig_325,1
9851740,37,924.72,669.57,Recibo,4118067,70030843,2015-11-11,14.54,89675.21,Pendiente,39582,s0QAre01,Pantalón Near,924.72,82,Artículo Pantalón Near en venta en tienda,fig_325,1
5647869,60,924.72,161.13,Nota de Débito,1030195,90095656,2022-04-19,46.17,31423.55,En proceso,39582,s0QAre01,Pantalón Near,924.72,82,Artículo Pantalón Near en venta en tienda,fig_325,1
9083738,38,924.72,359.38,Factura,2433854,82733827,2020-09-04,1.67,66586.5,Pendiente,39582,s0QAre01,Pantalón Near,924.72,82,Artículo Pantalón Near en venta en tienda,fig_325,1
5003574,22,924.72,127.63,Ticket de Venta,9785395,93290538,2020-11-07,14.22,19461.18,Reembolsada,39582,s0QAre01,Pantalón Near,924.72,82,Artículo Pantalón Near en venta en tienda,fig_325,1
8715180,96,924.72,383.76,Factura,1877036,57773032,2016-08-11,84.23,2977.22,Pendiente,39582,s0QAre01,Pantalón Near,924.72,82,Artículo Pantalón Near en venta en tienda,fig_325,1
6111575,8,609.06,233.55,Ticket de Venta,9767462,24873439,2020-12-05,98.99,58913.93,Completada,32684,QZ6uGH7U,Cama Time,609.06,59,Artículo Cama Time en venta en tienda,fig_503,1
9605600,38,609.06,165.15,Ticket de Venta,2332479,18718495,2021-01-01,12.1,7084.1,Reembolsada,32684,QZ6uGH7U,Cama Time,609.06,59,Artículo Cama Time en venta en tienda,fig_503,1
6492716,86,609.06,336.46,Boleta de Venta,5310333,13813611,2017-07-18,89.15,11478.63,Completada,32684,QZ6uGH7U,Cama Time,609.06,59,Artículo Cama Time en venta en tienda,fig_503,1
4370609,54,609.06,314.51,Nota de Débito,6786466,12932472,2017-04-19,20.58,3840.73,Completada,32684,QZ6uGH7U,Cama Time,609.06,59,Artículo Cama Time en venta en tienda,fig_503,1
5102345,86,609.06,52.39,Nota de Crédito,3698463,82710288,2023-06-10,44.16,81225.86,Pendiente,32684,QZ6uGH7U,Cama Time,609.06,59,Artículo Cama Time en venta en tienda,fig_503,1
5630956,40,609.06,638.15,Nota de Débito,2585570,27935660,2019-04-05,47.45,12604.42,Completada,32684,QZ6uGH7U,Cama Time,609.06,59,Artículo Cama Time en venta en tienda,fig_503,1
4718616,42,227.73,345.11,Boleta de Venta,1513121,50329243,2019-03-27,77.85,94216.58,En proceso,32684,9j9ZsvPn,Cuadro Specific,227.73,51,Artículo Cuadro Specific en venta en tienda,fig_389,1
7955719,95,227.73,795.98,Boleta de Venta,2643160,65989829,2023-07-30,63.01,27427.39,Completada,32684,9j9ZsvPn,Cuadro Specific,227.73,51,Artículo Cuadro Specific en venta en tienda,fig_389,1
5206045,74,227.73,660.74,Factura,9261493,36903282,2018-01-19,98.69,23968.34,Completada,32684,9j9ZsvPn,Cuadro Specific,227.73,51,Artículo Cuadro Specific en venta en tienda,fig_389,1
9544915,37,227.73,786.02,Recibo,2959894,97380802,2015-01-02,31.34,45867.53,Pendiente,32684,9j9ZsvPn,Cuadro Specific,227.73,51,Artículo Cuadro Specific en venta en tienda,fig_389,1
9884437,54,227.73,95.03,Ticket de Venta,9407974,32071078,2018-01-03,65.94,61684.93,Pendiente,32684,9j9ZsvPn,Cuadro Specific,227.73,51,Artículo Cuadro Specific en venta en tienda,fig_389,1
3553981,68,227.73,645.71,Boleta de Venta,9586202,27416031,2019-09-03,2.96,9958.31,Cancelada,32684,9j9ZsvPn,Cuadro Specific,227.73,51,Artículo Cuadro Specific en venta en tienda,fig_389,1
3490299,89,227.73,670.52,Recibo,5231206,93843983,2017-07-01,27.77,24687.24,Pendiente,32684,9j9ZsvPn,Cuadro Specific,227.73,51,Artículo Cuadro Specific en venta en tienda,fig_389,1
9778664,76,227.73,850.73,Boleta de Venta,3347843,73655650,2021-05-17,54.45,5778.66,Cancelada,32684,9j9ZsvPn,Cuadro Specific,227.73,51,Artículo Cuadro Specific en venta en tienda,fig_389,1
3442874,29,426.8,149.54,Boleta de Venta,1513121,50329243,2019-03-27,77.85,94216.58,En proceso,75369,4YTkjyoz,Teléfono Area,426.8,30,Artículo Teléfono Area en venta en tienda,fig_729,1
6750661,59,426.8,638.92,Ticket de Venta,7382801,76449540,2020-04-02,41.25,84387.78,Cancelada,75369,4YTkjyoz,Teléfono Area,426.8,30,Artículo Teléfono Area en venta en tienda,fig_729,1
3366074,94,426.8,582.01,Factura,9760790,69685266,2017-03-09,20.62,70404.11,Cancelada,75369,4YTkjyoz,Teléfono Area,426.8,30,Artículo Teléfono Area en venta en tienda,fig_729,1
7871374,94,426.8,608.61,Boleta de Venta,5371566,35276457,2015-07-07,82.43,43097.02,Cancelada,75369,4YTkjyoz,Teléfono Area,426.8,30,Artículo Teléfono Area en venta en tienda,fig_729,1
8818515,89,426.8,28.06,Factura,9252102,16266463,2020-09-27,29.15,83043.86,Completada,75369,4YTkjyoz,Teléfono Area,426.8,30,Artículo Teléfono Area en venta en tienda,fig_729,1
7652953,81,426.8,194.36,Nota de Débito,3249657,85726653,2016-02-20,16.38,64070.62,En proceso,75369,4YTkjyoz,Teléfono Area,426.8,30,Artículo Teléfono Area en venta en tienda,fig_729,1
4168682,97,472.02,667.8,Boleta de Venta,1513121,50329243,2019-03-27,77.85,94216.58,En proceso,40879,rTm2NA7l,Maquillaje Whether,472.02,83,Artículo Maquillaje Whether en venta en tienda,fig_87,1
9726961,59,472.02,656.75,Boleta de Venta,1771384,32356199,2016-03-10,90.15,46796.06,Reembolsada,40879,rTm2NA7l,Maquillaje Whether,472.02,83,Artículo Maquillaje Whether en venta en tienda,fig_87,1
8117605,8,472.02,476.63,Boleta de Venta,4172550,79858383,2023-12-03,87.25,22538.21,Pendiente,40879,rTm2NA7l,Maquillaje Whether,472.02,83,Artículo Maquillaje Whether en venta en tienda,fig_87,1
3400460,73,472.02,143.42,Nota de Débito,3436224,57599694,2018-04-29,41.44,51211.54,Completada,40879,rTm2NA7l,Maquillaje Whether,472.02,83,Artículo Maquillaje Whether en venta en tienda,fig_87,1
7370821,42,472.02,771.88,Factura,2805768,84658186,2020-04-21,13.1,27886.11,Pendiente,40879,rTm2NA7l,Maquillaje Whether,472.02,83,Artículo Maquillaje Whether en venta en tienda,fig_87,1
8845704,21,472.02,612.38,Factura,3955496,68600562,2020-01-16,89.08,38026.41,En proceso,40879,rTm2NA7l,Maquillaje Whether,472.02,83,Artículo Maquillaje Whether en venta en tienda,fig_87,1
9845120,54,472.02,261.76,Boleta de Venta,9059127,42441468,2015-10-11,25.79,51048.46,Cancelada,40879,rTm2NA7l,Maquillaje Whether,472.02,83,Artículo Maquillaje Whether en venta en tienda,fig_87,1
3382287,26,472.02,568.07,Recibo,1540702,11147784,2019-01-22,35.86,13479.21,En proceso,40879,rTm2NA7l,Maquillaje Whether,472.02,83,Artículo Maquillaje Whether en venta en tienda,fig_87,1
5562709,66,717.66,771.49,Boleta de Venta,1513121,50329243,2019-03-27,77.85,94216.58,En proceso,97521,cW6dWXui,Anillo Notice,717.66,40,Artículo Anillo Notice en venta en tienda,fig_413,1
6909773,9,717.66,300.84,Recibo,9651860,88979070,2021-05-09,63.16,89827.56,Pendiente,97521,cW6dWXui,Anillo Notice,717.66,40,Artículo Anillo Notice en venta en tienda,fig_413,1
9990158,33,713.82,306.46,Boleta de Venta,1513121,50329243,2019-03-27,77.85,94216.58,En proceso,40879,lJXoM2dY,Perfume Sort,713.82,40,Artículo Perfume Sort en venta en tienda,fig_41,1
